1361559594.501985 4 1552 27:9a:ba:fe:8d:3c 9e:bb:cc:97:a5:0b
1361559594.524465 16 14 27:51:40:0b:08:00 f5:e1:ed:b3:37:0b
1361559594.556773 26 1552 a9:d2:42:05:2d:1d ca:5a:af:c8:1b:14
1361559594.567312 34 14 0a:d9:97:ef:2d:86 d3:47:49:e0:72:68
1361559594.567568 35 1552 2a:56:a2:d3:d3:96 78:49:18:77:28:84
1361559594.590842 44 14 a8:d2:22:9e:2a:c0 27:51:c7:06:09:00
1361559594.602186 50 1552 b9:d8:4d:f4:dd:e2 5a:9d:5d:86:84:78
1361559594.619592 58 14 13:ec:83:76:2a:c0 27:51:93:88:09:00
1361559594.647640 74 1552 d2:35:14:bc:8b:a1 39:a4:d4:ec:30:94
1361559594.663544 82 14 3f:7f:23:9e:dc:4f 0c:45:2c:10:22:21
1361559594.687795 97 14 00:00:0e:00:00:00 27:51:7d:7f:0a:00
1361559594.688284 99 1552 d7:4f:5f:d0:b7:cf 85:30:c3:67:75:18
1361559594.706601 110 14 e8:84:a2:a7:2a:c0 ca:7a:05:c5:be:2b
1361559594.747817 125 14 82:6a:63:ff:2a:c0 2d:8f:91:99:41:11
1361559594.767597 136 14 77:e4:b9:8d:2a:c0 9d:80:78:d2:e3:fb
1361559594.788334 145 14 57:a5:8a:ff:d3:5d e8:11:fc:58:ba:d8
1361559594.794639 152 1552 c7:0a:60:3b:30:b3 61:b1:61:b8:c7:ea
1361559594.802304 158 1300 bd:d1:3d:3b:99:0e 42:f2:14:47:84:76
1361559594.814420 170 24 e0:f8:47:32:a6:2a f8:d1:11:5b:42:5a
1361559594.816292 172 110 e0:f8:47:32:a6:2a f8:d1:11:5b:42:5a
1361559594.843810 189 14 da:89:02:55:2a:c0 27:51:a7:e1:0c:00
1361559594.845684 192 1552 5e:fa:e2:a7:92:eb 8b:0d:bc:a2:9d:06
1361559594.851096 197 14 00:00:34:01:00:00 27:51:94:0a:0d:00
1361559594.857268 202 138 f8:d1:11:5b:42:5a e0:f8:47:32:a6:2a
1361559594.867389 209 14 a0:5f:82:a7:2a:c0 27:51:8c:45:0d:00
1361559594.918347 250 14 27:51:ac:10:0e:00 05:07:5a:89:43:b5
1361559594.926937 257 1552 48:0a:52:a6:6c:da 89:e2:90:fc:bd:67
1361559594.954983 266 1552 de:11:44:89:66:5f db:f7:e9:9d:d2:36
1361559594.963391 269 14 00:00:f8:00:00:00 27:51:e6:bb:0e:00
1361559594.976439 281 1552 57:b8:f5:59:0f:87 90:3f:27:45:5b:0a
1361559594.991249 284 28 00:23:6c:88:2f:ba 00:0d:93:8a:98:81
1361559595.19066 286 82 50:46:5d:d1:81:c0 01:80:c2:00:00:00
1361559595.63580 291 24 e0:f8:47:32:a6:2a f8:d1:11:5b:42:5a
1361559595.239910 317 223 14:10:9f:cf:e3:b1 ff:ff:ff:ff:ff:ff
1361559595.241054 318 223 22:10:df:fa:32:0b a5:55:fa:ff:ff:ff
1361559595.480779 346 160 1c:14:48:11:e3:c0 33:33:00:00:00:01
1361559595.853468 415 98 00:26:b0:f9:10:8d ff:ff:ff:ff:ff:ff
1361559596.431654 494 1552 3f:b8:24:35:ea:eb d3:96:82:1b:17:68
1361559596.432369 496 28 00:23:6c:88:8f:e0 00:0d:93:8a:98:81
1361559596.434356 497 14 70:ce:22:9e:c5:20 28:0d:fc:58:ba:8c
1361559596.442322 503 1552 e4:11:76:cd:f1:0a 0a:23:3a:ca:bd:10
1361559596.469586 511 348 28:e0:2c:b8:f4:aa 01:00:5e:00:00:fb
1361559596.471336 512 368 28:e0:2c:b8:f4:aa 33:33:00:00:00:fb
1361559596.555974 519 246 00:c0:ca:66:6a:dc 33:33:00:00:00:0c
1361559596.915745 554 14 69:5b:e7:9d:2c:c0 0b:0c:c4:f1:d8:96
1361559596.935243 558 14 00:00:0e:00:00:00 27:51:60:46:0e:00
1361559596.939617 562 1552 07:f5:e4:2c:eb:a9 5f:28:b4:d0:ab:4d
1361559596.944312 566 1552 1e:14:08:67:61:5c f8:44:cc:03:85:a5
1361559596.949294 574 1552 70:06:34:74:8c:bb 4c:08:da:66:c6:c0
1361559597.169076 596 82 50:46:5d:d1:81:c0 01:80:c2:00:00:00
1361559597.192621 599 192 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.193879 601 202 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.195175 603 212 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.196441 605 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.196923 606 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.199055 610 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.199247 611 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.199561 612 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.199749 613 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.200096 614 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.200293 615 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.200618 616 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.200821 617 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.201376 618 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.201761 619 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.205574 623 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.207484 629 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.207689 630 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.207864 631 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.208205 633 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.209071 637 232 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.220817 640 192 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.221171 641 192 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.222020 643 202 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.235310 646 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.235825 647 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.238892 649 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.259182 662 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.264968 666 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.266388 667 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.309445 687 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.310108 688 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.314237 690 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.326342 701 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.335571 704 212 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.339325 707 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
